stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
620_1,,,,,,,,0,620,,
621,,,,,,,,1,,,
621_1,,,,,,,,0,621,,
622,,,,,,,,1,,,
622_1,,,,,,,,0,622,,
623,,,,,,,,1,,,
623_1,,,,,,,,0,623,,
624,,,,,,,,1,,,
624_1,,,,,,,,0,624,,
625,,,,,,,,1,,,
625_1,,,,,,,,0,625,,
626,,,,,,,,1,,,
626_1,,,,,,,,0,626,,
627,,,,,,,,1,,,
627_1,,,,,,,,0,627,,
628,,,,,,,,1,,,
628_1,,,,,,,,0,628,,
629,,,,,,,,1,,,
629_1,,,,,,,,0,629,,
630,,,,,,,,1,,,
630_1,,,,,,,,0,630,,
631,,,,,,,,1,,,
631_1,,,,,,,,0,631,,
632,,,,,,,,1,,,
632_1,,,,,,,,0,632,,
633,,,,,,,,1,,,
633_1,,,,,,,,0,633,,
634,,,,,,,,1,,,
634_1,,,,,,,,0,634,,
635,,,,,,,,1,,,
635_1,,,,,,,,0,635,,
636,,,,,,,,1,,,
636_1,,,,,,,,0,636,,
637,,,,,,,,1,,,
637_1,,,,,,,,0,637,,
638,,,,,,,,1,,,
638_1,,,,,,,,0,638,,
639,,,,,,,,1,,,
639_1,,,,,,,,0,639,,
640,,,,,,,,1,,,
640_1,,,,,,,,0,640,,
641,,,,,,,,1,,,
641_1,,,,,,,,0,641,,
642,,,,,,,,1,,,
642_1,,,,,,,,0,642,,
643,,,,,,,,1,,,
643_1,,,,,,,,0,643,,
644,,,,,,,,1,,,
644_1,,,,,,,,0,644,,
645,,,,,,,,1,,,
645_1,,,,,,,,0,645,,
646,,,,,,,,1,,,
646_1,,,,,,,,0,646,,
647,,,,,,,,1,,,
647_1,,,,,,,,0,647,,
648,,,,,,,,1,,,
648_1,,,,,,,,0,648,,
649,,,,,,,,1,,,
649_1,,,,,,,,0,649,,
650,,,,,,,,1,,,
650_1,,,,,,,,0,650,,
651,,,,,,,,1,,,
651_1,,,,,,,,0,651,,
652,,,,,,,,1,,,
652_1,,,,,,,,0,652,,
653,,,,,,,,1,,,
653_1,,,,,,,,0,653,,
654,,,,,,,,1,,,
654_1,,,,,,,,0,654,,
655,,,,,,,,1,,,
655_1,,,,,,,,0,655,,
656,,,,,,,,1,,,
656_1,,,,,,,,0,656,,
657,,,,,,,,1,,,
657_1,,,,,,,,0,657,,
658,,,,,,,,1,,,
658_1,,,,,,,,0,658,,
659,,,,,,,,1,,,
659_1,,,,,,,,0,659,,
660,,,,,,,,1,,,
660_1,,,,,,,,0,660,,
661,,,,,,,,1,,,
